08-May-2024 10:38:12.243 INFO [http-nio-8082-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Associated with Deployer 'Catalina:type=Deployer,host=localhost'
08-May-2024 11:18:38.415 INFO [http-nio-8082-exec-67] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 11:18:38.415 INFO [http-nio-8082-exec-67] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
08-May-2024 11:19:24.627 INFO [http-nio-8082-exec-75] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 11:19:24.627 INFO [http-nio-8082-exec-75] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
08-May-2024 11:19:51.669 INFO [http-nio-8082-exec-65] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 11:19:51.669 INFO [http-nio-8082-exec-65] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
08-May-2024 11:20:33.446 INFO [http-nio-8082-exec-80] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 11:20:33.446 INFO [http-nio-8082-exec-80] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
08-May-2024 11:21:24.236 INFO [http-nio-8082-exec-72] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 11:21:24.237 INFO [http-nio-8082-exec-72] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
08-May-2024 11:22:50.764 INFO [http-nio-8082-exec-93] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 11:22:50.764 INFO [http-nio-8082-exec-93] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
08-May-2024 11:23:35.262 INFO [http-nio-8082-exec-92] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 11:23:35.262 INFO [http-nio-8082-exec-92] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
08-May-2024 11:24:00.512 INFO [http-nio-8082-exec-104] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 11:24:00.512 INFO [http-nio-8082-exec-104] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
08-May-2024 11:24:41.956 INFO [http-nio-8082-exec-100] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 11:24:41.956 INFO [http-nio-8082-exec-100] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
08-May-2024 11:25:31.263 INFO [http-nio-8082-exec-114] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 11:25:31.264 INFO [http-nio-8082-exec-114] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
08-May-2024 11:27:07.736 INFO [http-nio-8082-exec-120] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 11:27:07.736 INFO [http-nio-8082-exec-120] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
08-May-2024 11:28:56.862 INFO [http-nio-8082-exec-130] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/bermecars'
08-May-2024 11:28:56.862 INFO [http-nio-8082-exec-130] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to C:\Users\jimmy\Desktop\apache-tomcat-9.0.87\webapps\bermecars.war.tmp
